Region,SubRegion,Country,DrugGroup,DrugSubGroup,DrugName,Reference year,Kilograms,msCode
Africa,East Africa,Comoros,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2023,45,COM
Africa,East Africa,Comoros,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,2263,COM
Africa,East Africa,Comoros,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2023,57.5,COM
Africa,East Africa,Comoros,NPS,Synthetic cannabinoids (Spice),Synthetic cannabinoids (“Spice”),2023,10,COM
Africa,East Africa,Comoros,Opioids,Opiates,Heroin,2023,0.5,COM
Africa,East Africa,Djibouti,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,119.8,DJI
Africa,East Africa,Djibouti,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis oil,Cannabis oil,2023,0.032,DJI
Africa,East Africa,Djibouti,Cannabis-type drugs (excluding synthetic cannabinoids),Other types of cannabis,Other types of cannabis,2023,1.389,DJI
Africa,East Africa,Djibouti,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,0.028,DJI
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2020,12911,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2020,814.8,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2020,0.35,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2020,39.01,KEN
Africa,East Africa,Kenya,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2020,0.00035,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2021,11713,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2021,1329.1,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,2.53,KEN
