project_id,year,domain,model_type,dataset_size,class_imbalance_ratio,label_noise_level,missing_data_ratio,data_leakage,overfitting_score,train_val_gap,unstable_training,underfitting_flag,accuracy,precision,recall,f1_score,roc_auc,failure_type,applied_augmentation,rebalancing_method,architecture_change,threshold_optimization,post_fix_f1_score
PRJ_1,2025,finance,XGBoost,41590,0.35367665723356584,0.04680559213273095,0.03899863008405066,0,0.9699098521619943,0.3329770563201687,0,0,0.5232334448672797,0.5917022549267169,0.6521211214797689,0.34330702300103944,0.7836647510712832,class_imbalance,GAN,none,0,0,0.5135300253496812
PRJ_2,2020,computer_vision,CNN,69592,0.11094528759339801,0.13682099526511077,0.1962939903482534,0,0.17052412368729153,0.02602063719411181,1,1,0.5798695128633439,0.9041986740582306,0.6523068845866853,0.4527343471013021,0.6341852399022343,model_complexity,none,oversampling,0,0,0.6212172608737105
PRJ_3,2023,finance,CNN,10192,0.37623678821354994,0.07763399448000508,0.1656305710884955,1,0.7751328233611146,0.37579957662567565,1,0,0.6246844304357644,0.9609371175115584,0.5442462510259598,0.4966742272590927,0.6685940018467008,model_complexity,SMOTE,none,0,0,0.6560162831277486
PRJ_4,2024,finance,DenseNet,3068,0.10726429913295467,0.08428035290621423,0.13567402078956212,0,0.1987156815341724,0.00220884684944096,0,0,0.5563696899899051,0.8645035840204937,0.8856351733429728,0.3860401428767991,0.6259156281069316,model_complexity,GAN,none,0,0,0.45095027161275325
PRJ_5,2018,medical,Transformer,98518,0.2307507225216435,0.09329469651469866,0.08129583050668676,0,0.713244787222995,0.304314019446759,0,0,0.7918424713352257,0.7468977981821954,0.7613664146909971,0.6462088506319437,0.7496393564254924,label_noise,GAN,undersampling,0,0,0.873651399147209
PRJ_6,2024,fraud,DenseNet,75950,0.30550235119832064,0.2722699421778279,0.062323057287218736,0,0.8804678390152577,0.24974161925351732,0,0,0.6641531692142519,0.7282672852414551,0.6092202186084168,0.5008204984327946,0.7457784817546281,class_imbalance,none,none,1,0,0.5965801315311191
PRJ_7,2026,computer_vision,EfficientNet,119601,0.29591850362880273,0.1943070361624087,0.0001300942488289547,0,0.1198653673336828,0.13504606856145118,1,0,0.6410275425336676,0.7593953108716831,0.8515094794475889,0.5453103538099632,0.7272703608327529,model_complexity,SMOTE,class_weight,1,1,0.6282415244385515
PRJ_8,2018,nlp,EfficientNet,56180,0.46309578390650014,0.011066084206359838,0.1523910834949742,0,0.1448948720912231,0.19578110411102523,1,0,0.7010716092915446,0.8360677737029393,0.8808098076643588,0.6433497966040461,0.6831731403973399,deployment_shift,SMOTE,none,1,0,0.7490790894513684
PRJ_9,2021,computer_vision,EfficientNet,72582,0.3351943512755091,0.2505907486767714,0.08019501624293396,0,0.8095010461397154,0.13946639491669174,0,1,0.5746074041599417,0.6987860105437611,0.75887567526374,0.5184911329267271,0.8931985370675648,model_complexity,GAN,oversampling,0,1,0.6866697215643754
PRJ_10,2022,medical,Hybrid,118296,0.4704122194012937,0.05248647812878086,0.2455420858323589,0,0.18870710834137938,0.11154854103687276,0,0,0.7066543565084057,0.9281621459390462,0.702254063561095,0.6175299802838443,0.9107195345663359,poor_generalization,GAN,class_weight,1,1,0.8667807202354292
